Group Size,2,2,1,1,1,1,1,,2,2,1,2,2,1,1,3,3,3,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,,,,,,,,,
Estimated Gender,Male,Male,Female,Male,Male,Male,Male,,Male,Female,Female,Male,Female,Female,Female,Male,Male,Male,Male,Male,Female,Female,Male,Female,Male,Male,Male,Hard to Tell,Male,Male,Female,Female,Male,Male,Female,Male,Male,Hard to Tell,Male,Male,Male,Female,Male,Male,Male,Hard to Tell,Male,Male,Female,Male,Male,Male,Male,Male,Male,Hard to Tell,Female,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male,Male,Male,Female,Female,Hard to Tell,Hard to Tell,Hard to Tell,Female,Male,Hard to Tell,Male,Male,Female,Male,Male,Male,Male,Male,Hard to Tell,,,,,,,,,
Estimated Age Group,21-35,21-35,21-35,>50,21-35,21-35,21-35,,36-50,36-50,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,36-50,36-50,21-35,36-50,21-35,Hard to Tell,36-50,Hard to Tell,Hard to Tell,21-35,36-50,21-35,21-35,21-35,Hard to Tell,Hard to Tell,36-50,>50,21-35,>50,>50,36-50,21-35,21-35,21-35,21-35,0-20,21-35,36-50,21-35,21-35,36-50,>50,21-35,36-50,21-35,Hard to Tell,Hard to Tell,21-35,0-20,0-20,0-20,0-20,0-20,21-35,0-20,Hard to Tell,Hard to Tell,Hard to Tell,36-50,>50,Hard to Tell,Hard to Tell,21-35,>50,>50,>50,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,,,,,,,,,
Clothing Color,Black,Tan,Black/Grey,Dark Grey,Black,Black,Yellow,,Black,White,Grey,Red,White,Black,Grey,Black,Black,Black,Black,Navy Blue,Blue,Black,Dark Grey,Black,Dark Grey,Grey,Black/Red,Black,Black,Light grey,Tan,Tan,Black,Black,Black,Black,Black,Black,Dark grey,Orange,Black,Grey,Light Grey,Dark Grey/Green,Black,Dark yellow,Black,Black,Dark green,Black,Black,Dark grey,Black,Dark grey,Black,Black,Black,Black,Black/Grey,Black/Grey,Black/Khaki,Black/Grey,Black/Grey,Black,Black/Grey,Black,Black,Black,Black,Black,Black,White,Black,Black,Black,Black,White,Black,Black,Red,Black,Black/Grey,Black,Black,Black,Black,Black,Black,,,,,,,,,
Visibility Scale,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,1,1,1,1,2,2,1,,1,2,2,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,,,,,,,,,
Estimated Visible Distrction,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Hard to Tell,Yes,No,No,No,No,Hard to Tell,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Hard to Tell,Hard to Tell,No,No,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Yes,No,Hard to Tell,Hard to Tell,Hard to Tell,No,No,Hard to Tell,Hard to Tell,Hard to Tell,No,No,No,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,No,No,No,Hard to Tell,Hard to Tell,Hard to Tell,No,Hard to Tell,,,,,,,,,
User Notes,,,,,,,,,,,,,,,,,,,,,,Phone call,,Phone,,On phone while waiting,,,On phone while waiting,,,,,,,,,On phone while crossing,,On phone while corssing,On phone while crossing,On phone while crossing,,,,,,,,Phone in hand,,,,,,,,,,,,,,Looking at phone while waiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,,,,,,,,,
Type of Bus Interaction,,,,,,,,Alighted,,,,,,,,,,,,,,Alighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boarded,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Boarded,Alighted,Alighted,Alighted,,,Boarded,Waited at Bus Stop,Alighted,Alighted,Alighted,Alighted,Alighted,Boarded,Alighted,Alighted,Alighted,Alighted,Alighted,,,,,,,,,
Bus Stop Arrival Time,,,,,,,,3:01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:46:57 PM,3:46:54 PM,3:46:54 PM,3:46:54 PM,3:46:54 PM,3:46:54 PM,3:47:01 PM,3:47:01 PM,3:51:38 PM,3:51:38 PM,3:51:38 PM,4:08:15 PM,4:08:11 PM,4:10:12 PM,4:15:02 PM,4:16:51 PM,4:16:51 PM,4:16:51 PM,4:28:26 PM,4:29:39 PM,4:43:12 PM,4:43:12 PM,4:43:27 PM,4:43:21 PM,4:43:21 PM,5:05:43 PM,5:06:32 PM,5:06:42 PM,5:06:43 PM,5:06:45 PM,5:06:46 PM,,,,,,,,,
Bus Stop Departure Time,,,,,,,,3:01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:47:17 PM,3:47:06 PM,3:47:23 PM,3:47:23 PM,3:47:23 PM,3:47:15 PM,3:47:11 PM,3:51:52 PM,3:51:55 PM,3:51:55 PM,4:08:25 PM,4:08:31 PM,4:10:35 PM,4:15:12 PM,4:17:00 PM,4:17:05 PM,4:17:12 PM,4:43:22 PM, 4:33:59 PM,4:43:16 PM,4:43:34 PM,4:44:00 PM,4:43:41 PM,4:43:41 PM,,5:07:24 PM,5:06:58 PM,5:06:58 PM,5:06:55 PM,5:06:59 PM,,,,,,,,,
Bus Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,"Bus did not pull into the bus stop, stopped in the middle of the road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flagged bus down,,,,,,,,,,,,Flagged bus down,Bus did not pull into bus stop,Bus did not pull into bus stop,,,,,"Dropped off at bus stop by a car, picked up by a car",,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,,,,,,,,,,No,Yes,No,No,,,,No,,,No,,No,No,Yes,,,,Yes,,,,,,,,,,
Pedestrian Phase Crossing,Yes,Yes,Yes,Yes,Yes,Yes,No,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,N/A,Yes,N/A,No,No,No,Yes,Yes,No,N/A,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,N/A,N/A,No,,,,,,,,,,,N/A,No,N/A,N/A,,,,N/A,,,N/A,,N/A,N/A,Yes,,,,Yes,,,,,,,,,,
Intend to Cross Timestamp,3:00:04 PM,3:00:04 PM,3:00:39 PM,3:00:44 PM,,3:00:44 PM,3:01:34 PM,,3:02:17 PM,3:02:17 PM,3:02:53 PM,3:04:41 PM,3:04:41 PM,3:05:01 PM,3:05:17 PM,3:05:41 PM,3:05:41 PM,3:05:41 PM,3:06:39 PM,3:07:41 PM,3:07:41 PM,3:08:25 PM,3:08:09 PM,3:12:25 PM,3:14:07 PM,,3:15:29 PM,3:14:28 PM,3:19:18 PM,3:19:39 PM,3:20:08 PM,3:20:08 PM,3:21:06 PM,3:21:20 PM,3:23:00 PM,3:24:11 PM,3:25:03 PM,3:25:04 PM,3:26:10 PM,3:26:17 PM,3:26:44 PM,,3:27:48 PM,3:27:48 PM,3:28:09 PM,3:28:09 PM,3:29:28 PM,3:29:39 PM,3:30:30 PM,3:31:02 PM,3:32:29 PM,3:33:10 PM,3:34:00 PM,3:37:28 PM,3:38:20 PM,3:38:36 PM,3:39:27 PM,3:46:24 PM,,,,,,,,,,,4:08:32 PM,4:07:09 PM,4:10:35 PM,4:15:12 PM,,,,4:27:37 PM,,,4:43:34 PM,,4:43:42 PM,4:43:42 PM,5:04:14 PM,,,,5:06:58 PM,,,,,,,,,,
Crossing Start Time,3:00:19 PM,3:00:19 PM,3:00:39 PM,3:00:44 PM,3:00:37 PM,3:00:45 PM,3:01:44 PM,,3:03:03 PM,3:03:03 PM,3:03:34 PM,3:04:51 PM,3:04:51 PM,3:05:15 PM,3:05:18 PM,3:06:11 PM,3:06:11 PM,3:06:11 PM,3:06:43 PM,3:08:24 PM,3:08:24 PM,3:08:27 PM,3:08:09 PM,3:12:32 PM,3:14:07 PM,3:15:10 PM,3:15:29 PM,3:15:06 PM,3:19:54 PM,3:19:50 PM,3:20:13 PM,3:20:13 PM,3:21:08 PM,3:21:20 PM,3:23:03 PM,3:24:37 PM,3:25:03 PM,3:25:04 PM,3:26:55 PM,3:27:00 PM,3:26:44 PM,3:26:53 PM,3:27:48 PM,3:27:48 PM,3:28:32 PM,3:28:32 PM,3:29:28 PM,3:29:39 PM,3:31:13 PM,3:31:02 PM,3:32:31 PM,3:33:22 PM,3:34:01 PM,3:37:39 PM,3:38:25 PM,3:38:45 PM,3:39:36 PM,3:46:25 PM,,,,,,,,,,,4:08:33 PM,4:07:48 PM,4:10:35 PM,4:15:13 PM,,,,4:27:52 PM,,,4:43:49 PM,,4:43:42 PM,4:43:42 PM,5:05:15 PM,,,,,,,,,,,,,,
Refuge Island Start Time,,,,,-,,,,,,,,,,,,,,,,,,,,,3:15:23 PM,,3:15:38 PM,3:20:02 PM,,,,,,,,,,,,,,,,,,,,3:31:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,3:16:52 PM,,3:16:10 PM,3:20:16 PM,,,,,,,,,,,,,,,,,,,,3:32:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,Yes,Yes,Yes,,Yes,Yes,N/A,,N/A,N/A,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,No,No,Yes,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,No,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,,,,,,,,,,,N/A,N/A,N/A,N/A,,,,N/A,,,N/A,,N/A,N/A,Yes,,,,Yes,,,,,,,,,,
Crossing End Time,3:00:27 PM,3:00:27 PM,3:00:50 PM,3:00:54 PM,3:00:56 PM,3:00:53 PM,3:01:49 PM,,3:03:12 PM,3:03:12 PM,3:03:43 PM,3:04:49 PM,3:04:49 PM,3:05:24 PM,3:05:30 PM,3:05:22 PM,3:05:22 PM,3:05:22 PM,3:06:50 PM,3:08:48 PM,3:08:48 PM,3:08:34 PM,3:08:18 PM,3:12:42 PM,3:14:21 PM,3:17:01 PM,3:15:35 PM,3:16:25 PM,3:20:27 PM,3:19:58 PM,3:20:23 PM,3:20:23 PM,3:21:18 PM,3:21:28 PM,3:23:11 PM,3:24:45 PM,3:25:11 PM,3:25:12 PM,3:27:16 PM,3:27:14 PM,3:26:53 PM,3:27:19 PM,3:27:58 PM,3:27:58 PM,3:28:42 PM,3:28:42 PM,3:29:39 PM,3:29:57 PM,3:32:35 PM,3:31:09 PM,3:32:38 PM,3:33:37 PM,3:34:08 PM,3:37:50 PM,3:38:32 PM,3:38:51 PM,3:39:43 PM,3:46:40 PM,,,,,,,,,,,4:08:53 PM,4:07:57 PM,4:10:43 PM,4:15:23 PM,,,,4:28:01 PM,,,4:43:58 PM,,4:43:51 PM,4:43:51 PM,5:05:25 PM,,,,5:07:08 PM,,,,,,,,,,
Crossing Interaction Notes,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Run,Courtesy Run,Walk,,,,,,,,,,,Walk,Walk,Walk,Walk,,,,Courtesy Run,,,Courtesy Run,,Courtesy Run,Courtesy Run,Walk,,,,Walk,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,Yes,No,No,Yes,,,,No,,,No,,No,No,No,,,,No,,,,,,,,,,
Crossing Location Relative to Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Behind,,N/A,Behind,,,,,,,N/A,,N/A,N/A,,,,,N/A,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,At,Upstream,Upstream,At,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Upstream,,,,,,,,,,,At,Upstream,At,At,,,,Downstream,,,Downstream,,At,At,Upstream,,,,Upstream,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,3,3,1,1,2,2,1,1,1,1,1,1,1,1,3,3,1,2,1,1,3,3,2,1,1,1,2,2,,,,,,,,,,,1,2,2,3,,,,2,,,2,,2,2,3,,,,3,,,,,,,,,,
