Video Title,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,,,,,,,,
Intention to Cross Timestamp,3:06:46 PM,3:06:46 PM,3:08:06 PM,3:30:51 PM,3:32:11 PM,3:32:11 PM,3:37:57 PM,3:45:22 PM,3:49:14 PM,3:56:46 PM,4:12:06 PM,4:12:06 PM,4:20:09 PM,4:23:57 PM,4:27:11 PM,4:27:11 PM,4:32:45 PM,,4:50:49 PM,4:50:49 PM,4:51:49 PM,4:54:40 PM,5:03:23 PM,5:13:37 PM,5:15:57 PM,5:17:03 PM,5:33:41 PM,5:33:51 PM,5:33:53 PM,5:38:16 PM,5:43:26 PM,,5:57:17 PM,5:58:59 PM,,,,,,,,
Crossing Start Time,3:06:50 PM,3:06:50 PM,3:08:07 PM,3:30:55 PM,3:32:13 PM,3:32:13 PM,3:48:45 PM,3:45:23 PM,3:49:16 PM,3:57:12 PM,4:12:12 PM,4:12:12 PM,4:20:13 PM,4:24:04 PM,4:27:12 PM,4:27:12 PM,4:32:47 PM,,4:50:54 PM,4:50:54 PM,4:51:51 PM,4:54:50 PM,5:03:31 PM,5:13:51 PM,5:15:57 PM,5:17:03 PM,5:33:46 PM,5:33:53 PM,5:33:53 PM,5:38:30 PM,5:43:35 PM,,5:57:24 PM,5:59:08 PM,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,,,,,,,
Crossing End Time,3:07:07 PM,3:07:07 PM,3:08:15 PM,3:31:06 PM,3:32:27 PM,3:32:27 PM,3:38:56 PM,3:45:30 PM,3:49:29 PM,3:57:24 PM,4:12:22 PM,4:12:22 PM,4:20:30 PM,4:24:14 PM,4:27:28 PM,4:27:28 PM,4:33:02 PM,4:42:20 PM,4:51:07 PM,4:51:07 PM,4:51:57 PM,4:54:59 PM,5:03:36 PM,5:13:57 PM,5:16:15 PM,5:17:18 PM,5:33:57 PM,5:34:05 PM,5:34:05 PM,5:38:42 PM,5:43:44 PM,,5:57:31 PM,5:59:38 PM,,,,,,,,
Crossing Interaction Notes,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Other,Other,Courtesy Run,Other,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,,Run,Walk,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,,,,,,,
Crossing Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,Downstream,Upstream,,,,,,,,
Noteworthy Events,"Some cars did not stop while pedestrians started crossing, forcing them to stop for a moment","Some cars did not stop while pedestrians started crossing, forcing them to stop for a moment",,,,,Cars weren't stopping so the pedestrian had to wait a while,,,"Pedestrian had to wait, cars wouldn't stop",," ",,,,,,,,,,,,,,,,,,,,,,Cars did not stop,,,,,,,,
Driver Behavior,3,3,2,3,2,2,2,2,1,2,1,1,2,1,2,2,2,1,3,3,3,3,2,2,2,2,2,2,2,2,2,,1,2,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,
